Country,Year,Mission Name,Mission Type,Launch Site,Satellite Type,Budget (in Billion $),Success Rate (%),Technology Used,Environmental Impact,Collaborating Countries,Duration (in Days)
Russia,2003,Decentralized actuating budgetary management,Manned,Carpenterbury,Communication,26.69,94,AI Navigation,Medium,"UAE, USA, Russia",169
Germany,2022,Inverse web-enabled installation,Manned,Adamsfort,Navigation,20.24,70,Reusable Rocket,High,"France, Russia, Japan",359
France,2009,Digitized client-server encryption,Unmanned,East John,Spy,38.24,81,Reusable Rocket,Medium,"USA, Japan",237
UK,2012,Quality-focused intermediate throughput,Manned,Angelicaview,Weather,28.6,71,Traditional Rocket,Low,"India, UK, UAE",303
France,2012,Open-source fresh-thinking infrastructure,Manned,Andrewville,Weather,7.46,72,Nuclear Propulsion,High,"Israel, Japan",264
USA,2009,Persevering mobile initiative,Unmanned,Hermanchester,Research,33.08,78,Reusable Rocket,High,India,107
Japan,2020,User-centric mobile secured line,Manned,East Stephanie,Research,26.06,62,Nuclear Propulsion,Low,"USA, France",108
India,2020,Team-oriented asymmetric contingency,Manned,North Michaelville,Weather,27.77,71,Reusable Rocket,High,India,140
China,2002,Reverse-engineered bifurcated conglomeration,Manned,New Lisa,Navigation,25.52,79,Nuclear Propulsion,Low,Germany,267
UAE,2023,Re-contextualized object-oriented portal,Manned,Kennethport,Communication,23.65,59,Traditional Rocket,Low,"USA, India, UAE",344
India,2010,Horizontal client-driven access,Manned,Norrisburgh,Spy,38.21,96,Reusable Rocket,High,"USA, Japan",222
Israel,2011,Business-focused needs-based throughput,Unmanned,West Brookefurt,Research,35.44,63,Nuclear Propulsion,Low,"China, Russia, UAE",174
UK,2002,Down-sized explicit Internet solution,Unmanned,North Ian,Research,16.67,60,Traditional Rocket,High,"Japan, Israel, Germany",305
France,2001,Realigned didactic utilization,Manned,Markhaven,Navigation,38.67,97,Traditional Rocket,Medium,"Israel, Russia",215
India,2008,Diverse exuding open system,Manned,Pricehaven,Navigation,15.32,82,Traditional Rocket,Low,"India, Russia",66
USA,2018,Progressive system-worthy ability,Manned,Keyton,Research,18.61,82,Nuclear Propulsion,High,"India, China",218
UK,2004,Profit-focused 24hour matrices,Manned,Hartmanview,Weather,18.28,87,Traditional Rocket,Medium,Russia,168
UAE,2010,Organic solution-oriented orchestration,Manned,Patriciachester,Communication,18.84,64,Reusable Rocket,Low,India,196
India,2016,Vision-oriented 6thgeneration alliance,Unmanned,Patelbury,Communication,26.3,56,Nuclear Propulsion,High,"Israel, China, USA",301
Japan,2010,Quality-focused high-level process improvement,Manned,Port Jeremiah,Communication,13.3,75,Nuclear Propulsion,Low,UAE,346
India,2012,Self-enabling empowering paradigm,Unmanned,Taylorchester,Communication,48.23,95,Traditional Rocket,Medium,"Japan, India, China",300
China,2016,Streamlined executive knowledgebase,Manned,Christopherstad,Communication,27.98,78,Nuclear Propulsion,High,"Japan, UK, India",359
Russia,2011,Assimilated hybrid challenge,Unmanned,Davisfurt,Weather,21.16,78,Reusable Rocket,Medium,"Israel, Germany, China",170
Israel,2018,Organized responsive paradigm,Manned,North Andrea,Spy,8.95,56,Solar Propulsion,High,India,89
Russia,2002,Down-sized 24/7 website,Unmanned,New Juan,Communication,26.05,79,Reusable Rocket,Medium,UAE,193
China,2014,Cloned bottom-line parallelism,Unmanned,East Pattyville,Spy,27.71,64,AI Navigation,Medium,"India, Russia, UAE",230
India,2003,Profit-focused fresh-thinking secured line,Manned,Olsenview,Weather,49.91,100,AI Navigation,Low,"UAE, USA, Japan",105
India,2006,Multi-channeled 5thgeneration policy,Manned,East Steven,Weather,6.59,99,Reusable Rocket,Medium,"USA, Israel, UAE",97
UAE,2006,Re-contextualized solution-oriented open architecture,Unmanned,New Philipside,Communication,35.59,96,AI Navigation,Medium,"Germany, UK, UAE",198
China,2024,Virtual regional policy,Unmanned,Lake Elizabethfort,Weather,44.57,67,Nuclear Propulsion,High,"Israel, Japan",137
Russia,2001,Phased holistic throughput,Manned,Lake Jenna,Spy,31.53,52,Traditional Rocket,High,UAE,142
UAE,2018,Devolved 4thgeneration ability,Unmanned,Katherinehaven,Research,45.4,53,AI Navigation,High,"China, Germany, Russia",165
India,2018,Open-source 6thgeneration extranet,Unmanned,Garciaborough,Research,24.29,64,Reusable Rocket,Medium,"USA, Japan, Germany",280
USA,2005,Function-based clear-thinking functionalities,Manned,Tiffanyville,Weather,28.21,63,Traditional Rocket,Low,UK,313
Japan,2011,Cloned even-keeled concept,Unmanned,Michaelstad,Communication,32.72,74,Nuclear Propulsion,Low,"Japan, Russia",45
UK,2002,Progressive empowering array,Manned,East Michaelport,Communication,41.26,57,Traditional Rocket,Medium,"USA, Germany, UK",127
UAE,2023,Profound needs-based complexity,Manned,Weeksside,Research,1.91,56,Nuclear Propulsion,Medium,India,306
China,2012,Cross-platform human-resource moratorium,Manned,Port Omarmouth,Communication,11.05,65,AI Navigation,Medium,"Russia, China",339
USA,2017,Multi-layered 24hour adapter,Unmanned,Michelleview,Communication,49.92,67,Solar Propulsion,High,"Russia, Japan, UAE",223
UK,2011,Up-sized client-server standardization,Manned,Deleonland,Spy,45.7,56,Traditional Rocket,High,"China, Germany",195
USA,2009,Visionary high-level success,Manned,New Ashleyport,Communication,28.36,92,Traditional Rocket,Medium,"UK, USA",48
Germany,2000,Diverse next generation knowledgebase,Unmanned,West Jessicaside,Communication,40.8,53,Reusable Rocket,Medium,"UAE, USA",271
Germany,2022,Configurable system-worthy knowledge user,Unmanned,Christyborough,Research,9.04,66,Traditional Rocket,Low,"Germany, Israel, India",146
India,2008,Mandatory grid-enabled concept,Unmanned,Lake Taylorfurt,Spy,26.47,92,Reusable Rocket,High,"France, Russia, USA",193
UAE,2025,Sharable impactful model,Manned,Lake Andrew,Research,38.56,51,AI Navigation,High,Russia,357
Russia,2023,Compatible needs-based collaboration,Unmanned,Justinmouth,Communication,20.13,54,AI Navigation,Low,"France, Russia, UK",41
France,2001,Virtual bifurcated capacity,Manned,Lake Angelamouth,Navigation,19.19,55,Nuclear Propulsion,Low,"USA, Russia, Germany",314
Israel,2002,Persevering mobile hub,Unmanned,South Andrew,Navigation,24.05,94,Nuclear Propulsion,Low,"France, UAE, Russia",136
China,2001,Organized actuating methodology,Manned,Lake Christopherview,Research,46.47,76,Traditional Rocket,High,"Japan, Russia",344
Japan,2020,Robust reciprocal monitoring,Unmanned,East Pamelaberg,Navigation,40.21,50,AI Navigation,High,"Germany, France",116
Russia,2000,De-engineered leadingedge access,Unmanned,Bonnieside,Navigation,31.2,80,Nuclear Propulsion,Medium,"UK, USA",133
China,2023,Secured 3rdgeneration focus group,Manned,Haroldhaven,Communication,16.52,61,Solar Propulsion,Medium,"USA, India, Israel",303
UK,2002,Synergized heuristic contingency,Manned,Butlerburgh,Spy,12.88,99,Solar Propulsion,Low,Germany,9
Japan,2023,Polarized directional service-desk,Manned,New William,Spy,22.08,60,Traditional Rocket,Low,"UK, Russia",60
UAE,2011,Realigned attitude-oriented intranet,Manned,Petersonview,Communication,41.48,51,Traditional Rocket,Medium,"Germany, Japan, Russia",48
China,2020,Business-focused stable time-frame,Manned,Riceshire,Spy,28.4,60,Reusable Rocket,Medium,"France, India",259
Russia,2001,Reduced solution-oriented encoding,Manned,North Toddport,Weather,21.27,89,Traditional Rocket,Low,"Russia, Japan",345
France,2016,Devolved multi-tasking knowledgebase,Unmanned,Brookefort,Spy,3.48,77,Nuclear Propulsion,High,"France, UAE, China",221
Israel,2021,Down-sized motivating methodology,Unmanned,North Deborahmouth,Communication,19.84,51,Reusable Rocket,Low,"UAE, Germany, Israel",220
China,2018,Diverse well-modulated encoding,Unmanned,Osbornborough,Communication,6.27,89,Reusable Rocket,Medium,"India, UAE, Germany",135
France,2020,Extended 3rdgeneration workforce,Manned,Matthewbury,Navigation,12.57,91,Nuclear Propulsion,Low,"Russia, Israel",311
Germany,2008,Networked non-volatile groupware,Unmanned,Tracymouth,Weather,12.68,95,AI Navigation,Medium,China,217
Germany,2002,Integrated high-level leverage,Unmanned,Lake Michael,Spy,28.05,84,Solar Propulsion,Low,"USA, Russia",206
UAE,2013,Realigned asymmetric customer loyalty,Unmanned,Lake Ian,Navigation,32.72,52,Solar Propulsion,Low,"UAE, Japan",320
Israel,2013,Sharable local interface,Manned,Campbellmouth,Communication,31.67,76,Solar Propulsion,Medium,"UAE, Japan, Israel",217
UK,2006,Organic bottom-line hierarchy,Unmanned,Lake Ginahaven,Weather,21.14,100,AI Navigation,Low,"Germany, Japan",223
Israel,2011,Extended cohesive Internet solution,Unmanned,Wrightville,Research,34.83,67,Nuclear Propulsion,Low,"Russia, Israel",172
France,2003,Seamless foreground knowledge user,Unmanned,South Stacyhaven,Spy,10.8,55,Traditional Rocket,High,"India, China, UAE",290
France,2002,Mandatory high-level Local Area Network,Unmanned,East Laceyville,Research,20.92,78,Traditional Rocket,Medium,Russia,96
Germany,2014,Centralized encompassing Local Area Network,Manned,East Kristina,Communication,29.54,96,Reusable Rocket,Low,"France, Japan",152
USA,2009,Cross-group scalable workforce,Unmanned,New Markstad,Communication,28.17,53,Reusable Rocket,High,"UAE, Germany, Japan",162
Israel,2014,Implemented demand-driven utilization,Unmanned,New Richard,Spy,14.47,54,Nuclear Propulsion,High,Japan,120
Israel,2017,Balanced coherent superstructure,Unmanned,Lisahaven,Weather,21.19,61,AI Navigation,High,"Russia, UAE",41
UAE,2002,Decentralized executive task-force,Manned,West Eric,Weather,29.23,99,Solar Propulsion,Medium,"India, Israel, UAE",149
UK,2005,Persistent tangible installation,Unmanned,Whitefurt,Weather,25.32,58,Nuclear Propulsion,Low,"Israel, USA, China",189
India,2020,Diverse modular capacity,Manned,Lake Jose,Navigation,6.16,85,AI Navigation,High,Japan,84
China,2010,User-friendly stable matrices,Unmanned,West Jerryhaven,Spy,29.66,81,Solar Propulsion,High,"Russia, USA, UK",364
UK,2018,Intuitive 4thgeneration forecast,Manned,New Kimberlymouth,Communication,17.4,90,AI Navigation,Low,"France, Germany, Russia",360
USA,2019,Realigned multimedia infrastructure,Manned,East Andrewburgh,Research,9.01,57,Solar Propulsion,Low,"UAE, USA, Israel",127
USA,2014,Versatile directional matrices,Manned,East Thomas,Navigation,41.5,76,Traditional Rocket,Medium,"UAE, China",155
UAE,2020,Re-engineered impactful software,Manned,North Amandaville,Research,15.79,73,Nuclear Propulsion,High,"Japan, France, UAE",271
USA,2004,Fully-configurable zero-defect firmware,Unmanned,East Nathanview,Communication,17.37,88,Solar Propulsion,Low,Russia,82
Japan,2000,Up-sized local hierarchy,Unmanned,Port Veronica,Weather,41.97,53,Reusable Rocket,High,"UAE, Germany, France",267
UAE,2001,Seamless interactive toolset,Manned,East Ginafort,Research,12.15,93,Reusable Rocket,Medium,France,147
USA,2013,Adaptive zero tolerance groupware,Unmanned,Mossbury,Weather,5.84,69,Traditional Rocket,High,Israel,264
Russia,2025,Cloned hybrid orchestration,Unmanned,Richardsonton,Spy,26.09,94,Traditional Rocket,Low,"USA, China, Israel",262
France,2013,Object-based zero tolerance knowledgebase,Manned,North Christinaton,Navigation,25.01,60,Solar Propulsion,Medium,"Germany, Russia",191
USA,2018,Monitored content-based open system,Unmanned,South Keithberg,Navigation,34.3,50,Traditional Rocket,Medium,"Israel, Germany, India",224
USA,2011,Object-based responsive time-frame,Unmanned,South Kerry,Communication,33.6,79,Reusable Rocket,Medium,"India, USA, UK",132
India,2000,Managed stable Graphic Interface,Unmanned,Lake Deborahborough,Spy,11.45,72,AI Navigation,Low,Israel,69
UAE,2022,Digitized explicit functionalities,Manned,Salazarstad,Research,10.4,92,AI Navigation,Low,"China, Russia",68
Russia,2003,Expanded encompassing open system,Unmanned,North Cherylhaven,Weather,16.56,88,Solar Propulsion,Medium,UK,47
UAE,2024,Enterprise-wide asymmetric model,Manned,East Alex,Research,10.34,97,Traditional Rocket,Medium,"Israel, India",230
UAE,2015,Implemented dynamic workforce,Unmanned,Hallport,Weather,34.85,93,AI Navigation,Medium,Germany,163
UK,2022,Universal homogeneous migration,Manned,North Gregoryhaven,Weather,43.18,76,Solar Propulsion,Low,"Russia, Japan, China",307
Japan,2019,Multi-channeled radical archive,Unmanned,Jacobchester,Weather,40.11,93,AI Navigation,Medium,"UAE, USA",112
Russia,2006,Optional 3rdgeneration parallelism,Unmanned,Annaport,Research,11.45,71,Traditional Rocket,High,"USA, China, UAE",77
Germany,2009,Open-source optimal Graphic Interface,Unmanned,Laurenview,Spy,4.53,58,Solar Propulsion,High,"France, India, Russia",329
UK,2017,Fully-configurable zero administration service-desk,Unmanned,Jeffview,Research,10.57,99,Nuclear Propulsion,Medium,"UK, France",194
UK,2016,Implemented system-worthy alliance,Unmanned,North Kristin,Navigation,23.18,64,Traditional Rocket,Low,India,174
USA,2014,Persistent hybrid product,Manned,West Joy,Research,20.04,87,Traditional Rocket,Low,UAE,340
Israel,2023,Compatible empowering framework,Manned,Laneview,Research,23.62,91,Nuclear Propulsion,High,"UAE, Israel",228
Israel,2015,Pre-emptive methodical neural-net,Unmanned,Greentown,Research,42.13,71,Solar Propulsion,High,UK,212
UK,2023,Realigned incremental customer loyalty,Manned,Port Thomasshire,Navigation,8.36,88,Reusable Rocket,Low,India,285
UK,2018,Extended zero-defect process improvement,Manned,Pamelachester,Spy,7.0,70,Traditional Rocket,Low,"France, UK, UAE",229
Israel,2001,Optimized fault-tolerant throughput,Manned,North Luke,Spy,49.23,77,AI Navigation,Medium,UK,47
France,2005,Persistent tangible Graphic Interface,Manned,Chenview,Spy,13.86,91,AI Navigation,Low,Russia,208
Japan,2006,Switchable analyzing solution,Manned,Port James,Weather,9.73,100,Nuclear Propulsion,High,"UK, France",124
India,2024,Intuitive discrete pricing structure,Manned,Kimville,Research,14.57,50,AI Navigation,Low,"India, UAE, Germany",104
France,2023,Decentralized solution-oriented groupware,Manned,North Sherryville,Research,14.43,78,Nuclear Propulsion,High,Israel,169
UAE,2020,Fully-configurable foreground matrix,Unmanned,East Michael,Communication,21.56,89,Reusable Rocket,Medium,China,132
UAE,2012,Centralized modular conglomeration,Unmanned,Port Andreaview,Weather,31.6,63,Solar Propulsion,Low,"Germany, Israel, UK",262
China,2012,Right-sized human-resource knowledgebase,Manned,South Jodimouth,Research,34.66,60,Solar Propulsion,High,"Germany, India",309
USA,2022,Total clear-thinking infrastructure,Manned,Jimeneztown,Navigation,0.83,77,Solar Propulsion,Medium,"India, China, Russia",28
UK,2014,Centralized background workforce,Manned,North Valeriefurt,Spy,23.2,98,AI Navigation,Low,India,274
Japan,2025,Right-sized impactful Graphical User Interface,Unmanned,Bobbyfort,Research,39.43,95,Solar Propulsion,Medium,"Germany, Israel, India",142
UK,2004,Sharable human-resource interface,Unmanned,Lake Erica,Weather,17.83,56,Reusable Rocket,Medium,Japan,287
China,2021,Multi-tiered tertiary flexibility,Unmanned,Connieton,Research,16.02,88,Nuclear Propulsion,Medium,Russia,332
USA,2015,Centralized empowering projection,Manned,Rojasshire,Navigation,40.61,71,AI Navigation,Medium,China,160
USA,2025,Down-sized scalable array,Unmanned,Kingmouth,Navigation,11.05,59,Reusable Rocket,Low,UK,86
China,2006,Compatible fresh-thinking moratorium,Unmanned,Lake Robert,Weather,48.51,97,Nuclear Propulsion,Low,"India, France, Japan",201
UAE,2020,Re-contextualized encompassing methodology,Unmanned,East Jerome,Research,14.45,64,Solar Propulsion,Low,"France, Japan",363
USA,2019,Fully-configurable 3rdgeneration projection,Manned,Harperside,Navigation,33.22,67,Reusable Rocket,Low,"Germany, UAE",36
USA,2004,Enhanced well-modulated model,Unmanned,Huberhaven,Research,24.02,90,Nuclear Propulsion,Medium,Russia,102
China,2008,Self-enabling national project,Unmanned,Jessicaton,Spy,29.52,83,Reusable Rocket,Low,USA,118
Japan,2024,Diverse mission-critical capability,Manned,West Karen,Communication,40.69,85,AI Navigation,High,France,156
Russia,2021,Team-oriented asynchronous forecast,Unmanned,West Elizabethchester,Research,25.05,86,Traditional Rocket,Medium,"UAE, Japan, China",359
Russia,2010,Customer-focused explicit synergy,Manned,Kevinburgh,Spy,15.92,96,Reusable Rocket,Medium,France,141
India,2013,Diverse high-level orchestration,Unmanned,North Davidhaven,Navigation,8.13,92,AI Navigation,Medium,"USA, Russia, India",157
UAE,2016,Open-architected context-sensitive knowledge user,Unmanned,Johnberg,Weather,4.17,84,Traditional Rocket,High,"India, UK, Germany",1
Russia,2019,Enhanced zero administration methodology,Manned,Sandrabury,Weather,13.12,55,AI Navigation,Medium,"UK, Japan",271
Germany,2011,Assimilated system-worthy product,Unmanned,Lake Kevintown,Weather,41.24,91,Traditional Rocket,Medium,USA,20
India,2000,Total object-oriented budgetary management,Manned,North Edward,Weather,49.7,97,Solar Propulsion,Medium,"India, Japan, China",243
France,2007,Fully-configurable responsive projection,Unmanned,Kevinview,Research,16.72,94,Nuclear Propulsion,Medium,"UK, France",21
UK,2001,Team-oriented 6thgeneration software,Unmanned,Combsside,Spy,34.37,72,Nuclear Propulsion,Low,"China, Russia",83
Israel,2007,Virtual transitional conglomeration,Unmanned,North Barbaraberg,Weather,45.77,95,Solar Propulsion,High,UAE,95
Japan,2013,Quality-focused radical infrastructure,Manned,Port Emily,Spy,45.36,72,AI Navigation,Medium,UK,139
USA,2012,Integrated non-volatile attitude,Manned,South Laurastad,Navigation,33.38,90,Solar Propulsion,Medium,"UK, Russia",104
